"BÁO CÁO THEO DÕI LUÂN CHUYỂN NGUYÊN LIỆU 24K-NĂM 2026","","","","","","","","","","",""
"","","","","","","","","","","",""
"STT","NGUỒN NHẬN","LOẠI NL","TUỔI NL","TỒN ĐẦU KÌ","","NHẬP TRONG KÌ","","XUẤT TRONG KÌ","","TỒN CUỐI KÌ",""
"","","","","TL NGUYÊN (Gr)","QUY 24K (L)","TL NGUYÊN (Gr)","QUY 24K (L)","TL NGUYÊN (Gr)","QUY 24K (L)","TL NGUYÊN (Gr)","QUY 24K (L)"
"TỔNG CỘNG:","","","","190.83","5.04","2530.55","67.26","2721.16","72.30","0.22","0.01"
"Tổng KS","","","","0","0.00","399.44","10.59","399.39","10.59","0.05","0.00"
"1","Thu dẻ từ kênh Sỉ","NL24K","99.99%","","0.00","93.16","2.48","93.16","2.48","0.00","0.00"
"","","NL999","99.9%","","0.00","99.79","2.66","99.78","2.66","0.01","0.00"
"","","NL99","99%","","0.00","206.49","5.45","206.45","5.45","0.04","0.00"
"Tổng US","","","","0","0.00","206.29","5.50","206.19","5.50","0.10","0.00"
"2","Nguồn US","NL24K","99.99%","","0.00","206.29","5.50","206.19","5.50","0.10","0.00"
"","","NL999","99.9%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","","NL99","99%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tổng VN","","","","0","0.00","537.53","14.33","537.58","14.34","-0.05","0.00"
"3","Mua VN","NL24K","99.99%","","0.00","537.53","14.33","537.58","14.34","-0.05","0.00"
"","","NL999","99.9%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","","NL99","99%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tổng L2 trả","","","","0","0.00","219.00","5.84","218.85","5.84","0.15","0.00"
"4","L2 trả NL","NL24K","99.99%","","0.00","219.00","5.84","218.85","5.84","0.15","0.00"
"","","NL999","99.9%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","","NL99","99%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tổng Phân Kim","","","","190.83","5.04","1168.29","30.99","1359.15","36.03","-0.03","0.00"
"5","Phân kim","NL24K","99.99%","","0.00","557.39","14.86","557.36","14.86","0.03","0.00"
"","","NL999","99.9%","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","","NL99","99%","190.83","5.04","610.90","16.13","801.79","21.17","-0.06","0.00"
