"A.","BÁO CÁO QUẢN TRỊ NGUYÊN VẬT LIỆU VÀNG ĐỊNH KỲ QUÝ - NĂM 2026","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT","DIỄN GIẢI","QUÝ I","","","QUÝ II","","","QUÝ III","","","QUÝ IV","","","LŨY KẾ NĂM 2026","","","NHẬN XÉT, ĐÁNH GIÁ","","",""
"","","Trọng lượng
(Quy 24K)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 24K)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 24K)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 24K)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 24K)","Quy Lượng","Tỉ lệ % cơ cấu","","","",""
"I. TỒN ĐẦU KÌ","","1530.50","40.81","","838.12","22.350","","966.16","25.764","","966.16","25.764","","1530.50","40.813","","","","",""
"I.1","Nguyên liệu tồn đầu kì","440.96","11.76","28.81%","68.74","1.833","8.20%","109.00","2.907","11.28%","109.00","2.907","11.28%","440.96","11.759","28.81%","","","",""
"I.2","Bán thành phẩm dây tồn đầu kì","244.76","6.53","15.99%","162.95","4.345","19.44%","56.36","1.503","5.83%","56.36","1.503","5.83%","244.76","6.527","15.99%","","","",""
"I.3","Bán thành phẩm bi tồn đầu kì","318.69","8.50","20.82%","296.61","7.910","35.39%","398.64","10.630","41.26%","398.64","10.630","41.26%","318.69","8.498","20.82%","","","",""
"I.4","Phụ kiện tồn đầu kì","317.19","8.46","20.72%","279.42","7.451","33.34%","262.45","6.999","27.16%","262.45","6.999","27.16%","317.19","8.458","20.72%","","","",""
"I.5","Thành phẩm tồn đầu kì","208.91","5.57","13.65%","30.18","0.805","3.60%","139.45","3.719","14.43%","139.45","3.719","14.43%","208.91","5.571","13.65%","","","",""
"I.6","Sản phẩm bảo hành tồn đầu kì","0","0","0.00%","0.23","0.01","0.00","0.26","0.01","0.00","0.26","0.01","0.03%","0","0","0.00%","","","",""
"II. NHẬP TRONG  KÌ","","10951.48","292.039","","18923.95","504.639","","0.00","0.000","","0.00","0.000","","29875.43","796.678","","","","",""
"","NGUYÊN LIỆU VÀNG","1003.92","26.77","9.17%","1626.66","43.38","8.60%","0.00","0.00","0.00%","0.00","0.00","0.00%","2630.57","70.15","8.81%","","","",""
"II.1","Nguyên liệu nhập US","0","0.00","0.00%","206.29","5.50","12.68%","0","0.00","0.00%","0","0.00","0.00%","206.29","5.50","7.84%","","","",""
"II.2","Nguyên liệu nhập VN","0","0.00","0.00%","537.53","14.33","33.05%","0","0.00","0.00%","0","0.00","0.00%","537.53","14.33","20.43%","","","",""
"II.3","Nguyên liệu nhập L2","0","0.00","0.00%","260.92","6.96","16.04%","0","0.00","0.00%","0","0.00","0.00%","260.92","6.96","9.92%","","","",""
"II.4","Nguyên liệu nhập KS","399.07","10.64","39.75%","64.53","1.72","3.97%","0.00","0.00","0.00%","0.00","0.00","0.00%","463.59","12.36","17.62%","","","",""
"II.5","Nguyên liệu nhập phân kim","604.85","16.13","60.25%","557.39","14.86","34.27%","0.00","0.00","0.00%","0.00","0.00","0.00%","1162.24","30.99","44.18%","","","",""
"","NGUYÊN LIỆU SẢN XUẤT TRONG KỲ","9947.56","265.27","90.83%","17297.30","461.26","91.40%","0.00","0.00","0.00%","0.00","0.00","0.00%","27244.86","726.53","91.19%","","","",""
"II.6","Nguyên liệu nhập chuyển giao công đoạn","5351.57","142.71","53.80%","11066.01","295.09","63.98%","0.00","0.00","0.00%","0.00","0.00","0.00%","16417.58","437.80","60.26%","","","",""
"II.7","Bán thành phẩm dây nhập chuyển giao công đoạn","2253.53","60.09","22.65%","2170.78","57.89","12.55%","0.00","0.00","0.00%","0.00","0.00","0.00%","4424.31","117.98","16.24%","","","",""
"II.8","Bán thành phẩm bi nhập chuyển giao công đoạn","516.39","13.77","5.19%","1427.18","38.06","8.25%","0.00","0.00","0.00%","0.00","0.00","0.00%","1943.56","51.83","7.13%","","","",""
"II.9","Thành phẩm nhập chuyển giao công đoạn","1267.48","33.80","12.74%","1928.13","51.42","11.15%","0.00","0.00","0.00%","0.00","0.00","0.00%","3195.61","85.22","11.73%","","","",""
"II.10","Nhập sản phẩm bảo hành","56.57","1.51","0.57%","57.11","1.52","0.33%","0.00","0.00","0.00%","0.00","0.00","0.00%","113.68","3.03","0.42%","","","",""
"II.11","Phụ kiện nhập chuyển giao công đoạn","502.03","13.39","5.05%","648.09","17.28","3.75%","0.00","0.00","0.00%","0.00","0.00","0.00%","1150.12","30.67","4.22%","","","",""
"III. XUẤT TRONG  KÌ","","11643.86","310.503","","18795.92","501.224","","0.00","0.000","","0.00","0.000","","30439.78","811.727","","","","",""
"III.1","Nguyên liệu xuất chuyển giao công đoạn","5815.89","155.09","49.95%","12088.20","322.35","64.31%","0.00","0.00","0.00%","0.00","0.00","0.00%","17904.09","477.44","58.82%","","","",""
"III.2","Nguyên liệu xuất L2 mượn","303.66","8.10","2.61%","2.81","0.08","0.01%","0.00","0.00","0.00%","0.00","0.00","0.00%","306.47","8.17","1.01%","","","",""
"III.3","Nguyên liệu xuất phân kim","608.15","16.22","5.22%","561.40","14.97","2.99%","0.00","0.00","0.00%","0.00","0.00","0.00%","1169.55","31.19","3.84%","","","",""
"III.4","Bán thành phẩm bi xuất chuyển giao công đoạn","531.69","14.18","4.57%","1246.82","33.25","6.63%","0.00","0.00","0.00%","0.00","0.00","0.00%","1778.52","47.43","5.84%","","","",""
"III.5","Bán thành phẩm bi xuất L2","6.77","0.18","0.06%","78.32","2.09","0.42%","0.00","0.00","0.00%","0.00","0.00","0.00%","85.10","2.27","0.28%","","","",""
"III.6","Bán thành phẩm bi xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","","","",""
"III.7","Bán thành phẩm dây xuất chuyển giao công đoạn","2218.80","59.17","19.06%","2200.64","58.68","11.71%","0.00","0.00","0.00%","0.00","0.00","0.00%","4419.44","117.85","14.52%","","","",""
"III.8","Bán thành phẩm dây xuất L2","0.00","0.00","0.00%","16.01","0.43","0.09%","0.00","0.00","0.00%","0.00","0.00","0.00%","16.01","0.43","0.05%","","","",""
"III.9","Bán thành phẩm dây xuất kho Tổng","116.54","3.11","1.00%","60.72","1.62","0.32%","0.00","0.00","0.00%","0.00","0.00","0.00%","177.26","4.73","0.58%","","","",""
"III.10","Phụ kiện xuất chuyển giao công đoạn","535.08","14.27","4.60%","644.40","17.18","3.43%","0.00","0.00","0.00%","0.00","0.00","0.00%","1179.48","31.45","3.87%","","","",""
"III.11","Phụ kiện xuất L2","0.00","0.00","0.00%","10.32","0.28","0.05%","0.00","0.00","0.00%","0.00","0.00","0.00%","10.32","0.28","0.03%","","","",""
"III.12","Phụ kiện xuất kho Tổng","4.72","0.13","0.04%","10.34","0.28","0.05%","0.00","0.00","0.00%","0.00","0.00","0.00%","15.06","0.40","0.05%","","","",""
"III.13","Thành phẩm xuất chuyển giao công đoạn","739.14","19.71","6.35%","1074.65","28.66","5.72%","0.00","0.00","0.00%","0.00","0.00","0.00%","1813.78","48.37","5.96%","","","",""
"III.14","Thành phâm xuất kho Tổng","707.08","18.86","6.07%","744.20","19.85","3.96%","0.00","0.00","0.00%","0.00","0.00","0.00%","1451.28","38.70","4.77%","","","",""
"III.15","Xuất sản phẩm bảo hành","56.34","1.50","0.48%","57.08","1.52","0.30%","0.00","0.00","0.00%","0.00","0.00","0.00%","113.42","3.02","0.37%","","","",""
"IV. TỒN CUỐI KÌ","","838.12","22.350","","966.16","25.764","","966.16","25.764","","966.16","25.764","","966.16","25.764","","","","",""
"IV.1","Nguyên liệu tồn cuối kì","68.74","1.83","8.20%","109.00","2.91","11.28%","109.00","2.91","11.28%","109.00","2.91","11.28%","109.00","2.91","11.28%","","","",""
"IV.2","Bán thành phẩm dây tồn cuối kì","162.95","4.35","19.44%","56.36","1.50","5.83%","56.36","1.50","5.83%","56.36","1.50","5.83%","56.36","1.50","5.83%","","","",""
"IV.3","Bán thành phẩm bi tồn cuối kì","296.61","7.91","35.39%","398.64","10.63","41.26%","398.64","10.63","41.26%","398.64","10.63","41.26%","398.64","10.63","41.26%","","","",""
"IV.4","Phụ kiện tồn cuối kì","279.42","7.45","33.34%","262.45","7.00","27.16%","262.45","7.00","27.16%","262.45","7.00","27.16%","262.45","7.00","27.16%","","","",""
"IV.5","Thành phẩm tồn cuối kì","30.18","0.80","3.60%","139.45","3.72","14.43%","139.45","3.72","14.43%","139.45","3.72","14.43%","139.45","3.72","14.43%","","","",""
"IV.6","Sản phẩm bảo hành tồn cuối kì","0.23","0.01","0.03%","0.26","0.01","0.03%","0.26","0.01","0.03%","0.26","0.01","0.03%","0.26","0.01","0.03%","","","",""
"","","","","","","","","","","","","","","","","","","","","34"
"B.","BÁO CÁO QUẢN TRỊ HÀNG HÓA KÊNH SỈ NĂM 2026","","","","","","","","C.","BÁO CÁO TỔNG HỢP NGUYÊN VẬT LIỆU L3","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT","DIỄN GIẢI","SỐ LƯỢNG","TRỌNG LƯỢNG","","","","","","STT","DIỄN GIẢI","","TRỌNG LƯỢNG TỒN","","","","","","","",""
"","","","QUY 24K","QUY LƯỢNG","","","","","","","","QUY 24K (GR)","QUY LƯỢNG","","","","","","",""
