"A.","BÁO CÁO QUẢN TRỊ NGUYÊN VẬT LIỆU PT ĐỊNH KỲ QUÝ - NĂM 2026","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","DIỄN GIẢI","QUÝ I","","","QUÝ II","","","QUÝ III","","","QUÝ IV","","","LŨY KẾ NĂM 2026","","","NHẬN XÉT, ĐÁNH GIÁ"
"","","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu",""
"I. TỒN ĐẦU KÌ","","1168.91","31.171","","908.88","24.237","","831.03","22.161","","831.03","22.161","","1168.91","31.171","",""
"I.1","Nguyên liệu tồn đầu kì","956.39","25.504","81.82%","828.20","22.085","91.12%","750.34","20.009","90.29%","750.34","20.009","90.29%","956.39","25.504","81.82%",""
"I.2","Bán thành phẩm dây tồn đầu kì","107.83","2.875","9.22%","0.04","0.001","0.00%","0.04","0.001","0.00%","0.04","0.001","0.00%","107.83","2.875","9.22%",""
"I.3","Bán thành phẩm bi tồn đầu kì","0.00","0.000","0.00%","0.00","0.000","0.00%","0.00","0.000","0.00%","0.00","0.000","0.00%","0.00","0.000","0.00%",""
"I.4","Phụ kiện tồn đầu kì","104.68","2.791","8.96%","80.63","2.150","8.87%","80.63","2.150","9.70%","80.63","2.150","9.70%","104.68","2.791","8.96%",""
"I.5","Thành phẩm tồn đầu kì","0.02","0.000","0.00%","0.02","0.000","0.00%","0.02","0.000","0.00%","0.02","0.000","0.00%","0.02","0.000","0.00%",""
"I.6","Sản phẩm bảo hành tồn đầu kì","0","0","0.00%","0.00","0","0.00%","0.00","0","0.00%","0.00","0","0.00%","0.00","0","0.00%",""
"II. NHẬP TRONG  KÌ","","3861.49","102.973","","14.01","0.374","","0.00","0.000","","0.00","0.000","","3875.50","103.347","",""
"","NGUYÊN LIỆU VÀNG","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"II.1","Nguyên liệu nhập US","0","0.00","","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%",""
"II.2","Nguyên liệu nhập VN","0","0.00","","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%",""
