"A.","BÁO CÁO QUẢN TRỊ NGUYÊN VẬT LIỆU BẠC ĐỊNH KỲ QUÝ - NĂM 2026","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","DIỄN GIẢI","QUÝ I","","","QUÝ II","","","QUÝ III","","","QUÝ IV","","","LŨY KẾ NĂM 2026","","","NHẬN XÉT, ĐÁNH GIÁ"
"","","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu",""
"I. TỒN ĐẦU KÌ","","2840.47","75.746","","3527.72","94.073","","4293.24","114.486","","4293.24","114.486","","2840.47","75.746","",""
"I.1","Nguyên liệu tồn đầu kì","2070.96","55.226","72.91%","2012.56","53.668","57.05%","2173.96","57.972","50.64%","2173.96","57.972","50.64%","2070.96","55.226","72.91%",""
"I.2","Bán thành phẩm dây tồn đầu kì","199.71","5.326","7.03%","615.93","16.425","17.46%","586.58","15.642","13.66%","586.58","15.642","13.66%","199.71","5.326","7.03%",""
"I.3","Bán thành phẩm bi tồn đầu kì","266.13","7.097","9.37%","266.13","7.097","7.54%","159.91","4.264","3.72%","159.91","4.264","3.72%","266.13","7.097","9.37%",""
"I.4","Phụ kiện tồn đầu kì","129.73","3.460","4.57%","107.07","2.855","3.04%","179.83","4.795","4.19%","179.83","4.795","4.19%","129.73","3.460","4.57%",""
"I.5","Thành phẩm tồn đầu kì","173.94","4.638","6.12%","526.04","14.028","14.91%","87.65","2.337","2.04%","87.65","2.337","2.04%","173.94","4.638","6.12%",""
"I.6","Sản phẩm bảo hành tồn đầu kì","0","0","0.00%","0.00","0","0.00%","1105.31","29.475","25.75%","1105.31","29.475","25.75%","0.00","0","0.00%",""
"II. NHẬP TRONG  KÌ","","2339.34","62.382","","37617.23","1003.126","","0.00","0.000","","0.00","0.000","","39956.56","1065.508","",""
"","NGUYÊN LIỆU VÀNG","0.00","0.00","0.00%","2469.45","65.85","6.56%","0.00","0.00","0.00%","0.00","0.00","0.00%","2469.45","65.85","6.18%",""
"II.1","Nguyên liệu nhập US","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%",""
"II.2","Nguyên liệu nhập VN","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%",""
"II.3","Nguyên liệu nhập L2","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%","0","0.00","0.00%",""
"II.4","Nguyên liệu nhập KS","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"II.5","Nguyên liệu nhập phân kim","0.00","0.00","0.00%","2469.45","65.85","100.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","2469.45","65.85","100.00%",""
"","NGUYÊN LIỆU SẢN XUẤT TRONG KỲ","2339.34","62.38","100.00%","35147.77","937.27","93.44%","0.00","0.00","0.00%","0.00","0.00","0.00%","37487.11","999.66","93.82%",""
"II.6","Nguyên liệu nhập chuyển giao công đoạn","991.34","26.44","42.38%","25819.76","688.53","73.46%","0.00","0.00","0.00%","0.00","0.00","0.00%","26811.10","714.96","71.52%",""
"II.7","Bán thành phẩm dây nhập chuyển giao công đoạn","835.45","22.28","35.71%","5070.79","135.22","14.43%","0.00","0.00","0.00%","0.00","0.00","0.00%","5906.24","157.50","15.76%",""
"II.8","Bán thành phẩm bi nhập chuyển giao công đoạn","0.00","0.00","0.00%","324.98","8.67","0.92%","0.00","0.00","0.00%","0.00","0.00","0.00%","324.98","8.67","0.87%",""
"II.9","Thành phẩm nhập chuyển giao công đoạn","352.10","9.39","15.05%","1870.48","49.88","5.32%","0.00","0.00","0.00%","0.00","0.00","0.00%","2222.58","59.27","5.93%",""
"II.10","Nhập sản phẩm bảo hành","0.00","0.00","0.00%","1105.31","29.47","3.14%","0.00","0.00","0.00%","0.00","0.00","0.00%","1105.31","29.47","2.95%",""
"II.11","Phụ kiện nhập chuyển giao công đoạn","160.45","4.28","6.86%","956.45","25.51","2.72%","0.00","0.00","0.00%","0.00","0.00","0.00%","1116.90","29.78","2.98%",""
"III. XUẤT TRONG  KÌ","","1652.09","44.056","","36851.70","982.712","","0.00","0.000","","0.00","0.000","","38503.79","1026.768","",""
"III.1","Nguyên liệu xuất chuyển giao công đoạn","1049.74","27.99","63.54%","24877.80","663.41","67.51%","0.00","0.00","0.00%","0.00","0.00","0.00%","25927.55","691.40","67.34%",""
"III.2","Nguyên liệu xuất L2 mượn","0.00","0.00","0.00%","713.12","19.02","1.94%","0.00","0.00","0.00%","0.00","0.00","0.00%","713.12","19.02","1.85%",""
"III.3","Nguyên liệu xuất phân kim","0.00","0.00","0.00%","2536.89","67.65","6.88%","0.00","0.00","0.00%","0.00","0.00","0.00%","2536.89","67.65","6.59%",""
"III.4","Bán thành phẩm bi xuất chuyển giao công đoạn","0.00","0.00","0.00%","431.19","11.50","1.17%","0.00","0.00","0.00%","0.00","0.00","0.00%","431.19","11.50","1.12%",""
"III.5","Bán thành phẩm bi xuất L2","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.6","Bán thành phẩm bi xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.7","Bán thành phẩm dây xuất chuyển giao công đoạn","419.23","11.18","25.38%","5100.14","136.00","13.84%","0.00","0.00","0.00%","0.00","0.00","0.00%","5519.37","147.18","14.33%",""
"III.8","Bán thành phẩm dây xuất L2","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.9","Bán thành phẩm dây xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.10","Phụ kiện xuất chuyển giao công đoạn","183.11","4.88","11.08%","883.69","23.57","2.40%","0.00","0.00","0.00%","0.00","0.00","0.00%","1066.81","28.45","2.77%",""
"III.11","Phụ kiện xuất L2","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.12","Phụ kiện xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.13","Thành phẩm xuất chuyển giao công đoạn","0.00","0.00","0.00%","2308.86","61.57","6.27%","0.00","0.00","0.00%","0.00","0.00","0.00%","2308.86","61.57","6.00%",""
"III.14","Thành phâm xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.15","Xuất sản phẩm bảo hành","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"IV. TỒN CUỐI KÌ","","3527.72","94.073","","4293.24","114.486","","4293.24","114.486","","4293.24","114.486","","4293.24","114.486","",""
"IV.1","Nguyên liệu tồn cuối kì","2012.56","53.67","57.05%","2173.96","57.97","50.64%","2173.96","57.97","50.64%","2173.96","57.97","50.64%","2173.96","57.97","50.64%",""
"IV.2","Bán thành phẩm dây tồn cuối kì","615.93","16.42","17.46%","586.58","15.64","13.66%","586.58","15.64","13.66%","586.58","15.64","13.66%","586.58","15.64","13.66%",""
"IV.3","Bán thành phẩm bi tồn cuối kì","266.13","7.10","7.54%","159.91","4.26","3.72%","159.91","4.26","3.72%","159.91","4.26","3.72%","159.91","4.26","3.72%",""
"IV.4","Phụ kiện tồn cuối kì","107.07","2.86","3.04%","179.83","4.80","4.19%","179.83","4.80","4.19%","179.83","4.80","4.19%","179.83","4.80","4.19%",""
"IV.5","Thành phẩm tồn cuối kì","526.04","14.03","14.91%","87.65","2.34","2.04%","87.65","2.34","2.04%","87.65","2.34","2.04%","87.65","2.34","2.04%",""
