"spreadsheet","tab_name","tab_gid","column_index","field_name"
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","1","DỮ LIỆU TỔNG HỢP"
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","2",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","3",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","4",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","5",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","6",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","7",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","8",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","9",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","10",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","11",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","12",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","13",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","14",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","15",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","16",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","17",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","18",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","19",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","20",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","21",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","22",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","23",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","24",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","25",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","26",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","27",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","28",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","29",""
"13-bao-cao-nxt-nvl-2026","Dữ liệu tổng","0","30",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","1","[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026"
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","2",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","3",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","4",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","5",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","6",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","7",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","8",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","9",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","10",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","11",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","12",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","13",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","14",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","15",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","16",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","17",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","18",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","19",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","20",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","21",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","22",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","23",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","24",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","25",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","26",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","27",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","28",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","29",""
"13-bao-cao-nxt-nvl-2026","1. BC NXT-QUY.2026","1672699906","30",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","1",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","2",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","3",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","4",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","5",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","6",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","7",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","8",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","9",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","10",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","11",""
"13-bao-cao-nxt-nvl-2026","2. BÁO CÁO TỔNG HỢP NXT NĂM","288502884","12",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","1","BÁO CÁO THEO DÕI LUÂN CHUYỂN NGUYÊN LIỆU 24K-NĂM 2026"
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","2",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","3",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","4",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","5",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","6",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","7",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","8",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","9",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","10",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","11",""
"13-bao-cao-nxt-nvl-2026","3. THEO DÕI LUÂN CHUYỂN NL24K","170606031","12",""
